"Отметка времени"	"1. Ваш вік "	"2. Ваша стать"	"3.  В якому класі навчається Ваша дитина або Ваші діти (можна обрати кілька варіантів відповідей)? "	"4. Зазначте свою область проживання"	"5.  У якому населеному пункті розташований Ваш заклад освіти   "	"6.       Оберіть тип Вашого закладу освіти "	"7.  Зазначте форму власності Вашого закладу освіти "	"8. В якому форматі працює Ваш заклад освіти? "	"9. У скільки змін організовано навчання?"	"10. Яку освітню платформу  або інформаційно-комунікаційну систему використовує Ваш заклад освіти для управління освітнім процесом та комунікації з батьками? "	"Якщо зазначили ""Інше"", то напишіть яку саме  систему"	"11.Які  інформаційно-комунікаційні сервіси використовує Ваш заклад освіти для організації навчання  в очному чи в змішаному форматі? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть який саме сервіс"	"12. Чи задоволені ви технічною підтримкою (допомогою в разі технічних проблем), яку надає заклад освіти для використання освітньої платформи?"	"13. Чи маєте Ви доступ до електронного журналу та щоденника?"	"14. Чи сайт Вашого закладу освіти містить актуальну та корисну для батьків інформацію?"	"15. Зазначте позиції, які містить сайт Вашого закладу освіти (можна вибрати декілька варіантів відповідей):"	"16. За допомогою яких комунікаційних сервісів або соціальних мереж Ви спілкуєтесь з класним керівником Вашої дитини? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть що саме використовуєте"	"17. Чи налагоджений зворотній зв’язок з іншими вчителями?"	"18. Чи практикує Ваш заклад освіти опитування батьків щодо якості організації освітнього процесу?"	"19. Чи має Ваша дитина належні навички для самостійного використання цифрових ресурсів у навчанні?"	"20. Наскільки самостійно навчається Ваша дитина під час дистанційного та змішаного формату навчання?"	"21.Чи має Ваша дитина доступ до пристрою (комп'ютера, планшета) для навчання вдома?"	"22. Що, на Вашу думку, можна покращити в  інформаційно-цифровому середовищі Вашого закладу освіти? (опишіть, будь ласка, Ваші пропозиції)"
10/8/2024 12:36:11	"від 45 та старше"	"Жінка"	"6 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Не знаю"		"Так"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Ні"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 14:37:10	"від 27 до 35"	"Жінка"	"2 клас, 4 клас"	"Миколаївська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Ні"	"Так"	"Вчиться тільки з Вашою підтримкою"	"Так"	"."
10/8/2024 14:48:13	"від 35 до 45"	"Жінка"	"1 клас, 6 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom"		"Частково"	"Так"	"Частково"	"Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Viber"		"Ні"	"Ні"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 15:02:23	"від 35 до 45"	"Жінка"	"8 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom"		"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/8/2024 15:39:39	"від 35 до 45"	"Жінка"	"11 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Human школа"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Telegram"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 15:49:42	"від 35 до 45"	"Жінка"	"4 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 16:54:22	"від 35 до 45"	"Жінка"	"8 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom"		"Ні, така підтримка не надається"	"Так"	"Так"	"Нічого з вищезазначеного"	"Viber"		"Ні"	"Ні"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 18:12:30	"від 35 до 45"	"Жінка"	"10 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/8/2024 18:15:24	"від 35 до 45"	"Жінка"	"3 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Google classroom"		"Так"	"Ні"	"Частково"	"Правила поведінки під час онлайн-занять"	"Viber"		"Так"	"Так"	"Частково"	"Займається з репетиторами додатково"	"Так"	"."
10/8/2024 18:17:51	"від 35 до 45"	"Чоловік"	"4 клас, 9 клас"	"Дніпропетровська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 18:36:19	"від 35 до 45"	"Жінка"	"9 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Поради щодо психологічної підтримки дітей"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/8/2024 18:43:02	"від 27 до 35"	"Жінка"	"4 клас"	"Харківська область"	"село"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 18:55:45	"від 45 та старше"	"Жінка"	"11 клас"	"Харківська область"	"село"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Так"	"Так"	"Так"	"Нічого з вищезазначеного"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/8/2024 19:12:27	"від 35 до 45"	"Жінка"	"9 клас, 11 клас"	"Одеська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Facebook, Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/8/2024 19:25:14	"від 27 до 35"	"Жінка"	"1 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Не знаю"		"Так"	"Ні"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Вчиться тільки з Вашою підтримкою"	"Так"	"."
10/8/2024 20:03:18	"від 27 до 35"	"Жінка"	"7 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Частково"	"Так"	"Так"	"Нічого з вищезазначеного"	"Viber"		"Ні"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 20:24:29	"від 27 до 35"	"Жінка"	"8 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Частково"	"Ні"	"Частково"	"Інструкції або відеоінструкції щодо використання освітньої платформи"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 20:27:26	"від 27 до 35"	"Жінка"	"2 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Частково"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 20:48:33	"від 27 до 35"	"Жінка"	"3 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Ні"	"Так"	"Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 21:05:16	"від 35 до 45"	"Жінка"	"9 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали"	"Viber, Telegram"		"Частково"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Частково (пристрій доступний не завжди)"	"."
10/8/2024 21:05:52	"від 45 та старше"	"Жінка"	"11 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Ні"	"."
10/8/2024 21:15:40	"від 35 до 45"	"Чоловік"	"5 клас"	"Харківська область"	"смт"	"заклад загальної середньої освіти"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Google classroom"		"Так"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Так"	"Частково"	"Вчиться тільки з Вашою підтримкою"	"Так"	"."
10/8/2024 21:19:00	"від 27 до 35"	"Жінка"	"2 клас"	"Київська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Human школа"		"Zoom"		"Частково"	"Ні"	"Так"	"Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Частково (пристрій доступний не завжди)"	"."
10/8/2024 21:46:03	"від 45 та старше"	"Жінка"	"7 клас"	"Миколаївська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Нові знання"		"Google classroom, Prosvita, Zoom"		"Так"	"Так"	"Частково"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/8/2024 23:30:10	"від 45 та старше"	"Жінка"	"4 клас, 10 клас"	"Одеська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Google classroom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Ні"	"Ні"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 8:21:42	"від 35 до 45"	"Жінка"	"4 клас, 9 клас"	"Львівська область"	"місто"	"заклад загальної середньої освіти"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Google classroom"		"Так"	"Так"	"Так"	"Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 8:23:51	"від 27 до 35"	"Жінка"	"5 клас"	"Полтавська область"	"село"	"загальноосвітня школа"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Не знаю"		"Google classroom"		"Ні, така підтримка не надається"	"Ні"	"Частково"	"Правила поведінки під час онлайн-занять, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber, Telegram"		"Ні"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 8:30:57	"від 27 до 35"	"Жінка"	"2 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"		"Інше"		"Частково"	"Так"	"Частково"	"Нічого з вищезазначеного"	"Viber"		"Частково"	"Ні"	"Ні"	"Займається з репетиторами додатково"	"Частково (пристрій доступний не завжди)"	"."
10/9/2024 8:57:14	"від 35 до 45"	"Жінка"	"6 клас"	"Полтавська область"	"смт"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Ні"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 8:57:18	"від 45 та старше"	"Жінка"	"7 клас"	"Львівська область"	"місто"	"заклад загальної середньої освіти"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Google classroom, Zoom"		"Частково"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 9:16:15	"від 45 та старше"	"Жінка"	"4 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Не знаю"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 9:31:58	"від 35 до 45"	"Жінка"	"8 клас"	"Полтавська область"	"село"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання, Не знаю"		"Google classroom"		"Частково"	"Так"	"Частково"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 9:49:26	"від 35 до 45"	"Жінка"	"11 клас"	"Запорізька область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Не знаю"		"Так"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 10:16:39	"від 35 до 45"	"Жінка"	"1 клас, 6 клас"	"Волинська область"	"місто"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Частково"	"Ні"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 10:21:39	"від 45 та старше"	"Жінка"	"6 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Займається з репетиторами додатково"	"Так"	"."
10/9/2024 11:31:51	"від 35 до 45"	"Чоловік"	"9 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Не знаю"		"Не знаю"		"Так"	"Ні"	"Так"	"Нічого з вищезазначеного"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 11:39:55	"від 27 до 35"	"Жінка"	"4 клас"	"Волинська область"	"місто"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Інше"		"Google classroom"		"Так"	"Ні"	"Частково"	"Правила поведінки під час онлайн-занять, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 12:04:40	"від 27 до 35"	"Жінка"	"3 клас"	"Львівська область"	"місто"	"заклад загальної середньої освіти"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Не знаю"		"Google classroom, Zoom"		"Ні, така підтримка не надається"	"Так"	"Частково"	"Нічого з вищезазначеного"	"Viber"		"Так"	"Ні"	"Так"	"Вчиться тільки з Вашою підтримкою"	"Так"	"."
10/9/2024 12:38:42	"від 45 та старше"	"Жінка"	"8 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Частково"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 13:10:40	"від 27 до 35"	"Жінка"	"5 клас"	"Львівська область"	"місто"	"заклад загальної середньої освіти"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Не знаю"		"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 14:19:15	"від 27 до 35"	"Жінка"	"5 клас, 6 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Єдина школа, Мій клас"		"Zoom"		"Частково"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 15:19:57	"від 27 до 35"	"Жінка"	"5 клас"	"Одеська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Нові знання"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Ні"	"."
10/9/2024 15:28:03	"від 27 до 35"	"Жінка"	"2 клас"	"Полтавська область"	"смт"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Eddy"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 15:44:28	"від 27 до 35"	"Жінка"	"3 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Так"	"Ні"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 16:16:28	"від 35 до 45"	"Жінка"	"9 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Зворотній зв’язок"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/9/2024 16:22:54	"від 45 та старше"	"Жінка"	"7 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Facebook, Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 16:50:09	"від 35 до 45"	"Жінка"	"3 клас, 9 клас"	"Дніпропетровська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Human школа"		"Google classroom, Zoom"		"Частково"	"Так"	"Так"	"Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"		"Частково"	"Так"	"Частково"	"Займається з репетиторами додатково"	"Так"	"."
10/9/2024 17:09:50	"від 35 до 45"	"Жінка"	"4 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Ні, така підтримка не надається"	"Ні"	"Частково"	"Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Частково"	"Вчиться тільки з Вашою підтримкою"	"Частково (пристрій доступний не завжди)"	"."
10/9/2024 17:16:57	"від 45 та старше"	"Жінка"	"8 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Не знаю"		"Не знаю"		"Так"	"Так"	"Так"	"Зворотній зв’язок"	"Viber"		"Частково"	"Ні"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 17:38:51	"від 35 до 45"	"Жінка"	"1 клас"	"Одеська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Zoom"		"Ні, така підтримка не надається"	"Ні"	"Сайт не працює"	"Нічого з вищезазначеного"	"Viber"		"Частково"	"Ні"	"Ні"	"Вчиться тільки з Вашою підтримкою"	"Частково (пристрій доступний не завжди)"	"."
10/9/2024 17:46:16	"від 35 до 45"	"Жінка"	"7 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Так"	"Так"	"Так"	"Правила безпечного користування інтернетом, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"."
10/9/2024 18:22:16	"від 27 до 35"	"Жінка"	"1 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Моя школа"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Ні"	"Вчиться тільки з Вашою підтримкою"	"Так"	"."
10/10/2024 6:24:40	"від 35 до 45"	"Жінка"	"6 клас"	"Полтавська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Eddy"		"Google classroom, Zoom"		"Так"	"Ні"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Частково (пристрій доступний не завжди)"	"."
10/10/2024 7:09:40	"від 35 до 45"	"Чоловік"	"5 клас, 8 клас"	"Волинська область"	"місто"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/10/2024 7:30:56	"від 35 до 45"	"Жінка"	"8 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Human школа"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
10/10/2024 7:44:33	"від 27 до 35"	"Жінка"	"1 клас"	"Харківська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"."
